"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/185341","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","28-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"4","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/	 MP575/2026-2027/291463","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","29-Aug-2026","BHARGAV SUMANTRAI PATEL","Payment In-Progress","497845"
"5","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"6","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"7","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"8","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"9","Karnataka","Construction of community centers and community halls","WS/MP18086/2026-2027/292888","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","24-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"10","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/226384","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","29-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"11","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"12","Karnataka","Construction of buildings for training institutions","WS/MP18093/2026-2027/217128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"13","Karnataka","Installing tube-wells and borewells","WS/MP18093/2026-2027/217130","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"14","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"15","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"16","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"17","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214767","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"18","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214768","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"19","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214771","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"20","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214772","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"21","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214774","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"22","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214761","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"23","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214174","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"24","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214202","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"25","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214193","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"26","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214195","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"27","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214196","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"28","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214190","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"29","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214253","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"30","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214320","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"31","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"32","Andhra Pradesh","Construction of veterinary hospitals and dispensaries","WS/MP18007/2024-2025/140066","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Putta Mahesh Kumar","ELURU","27-Aug-2026","VIJAYA VIKRAM CONSTRUCTIONS","Payment In-Progress","1097173"
"33","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214776","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"34","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214778","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"35","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214780","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"36","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214742","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"37","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214637","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"38","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214638","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"39","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214639","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"40","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214643","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"41","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187588","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"42","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187595","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"43","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186921","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"44","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186922","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"45","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186923","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"46","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186924","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"47","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186925","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"48","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186926","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"49","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186942","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"50","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"51","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"52","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182256","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"53","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182257","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"54","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182258","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"55","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182259","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"56","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214751","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"57","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214753","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"58","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187362","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"59","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187363","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"60","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"61","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"62","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182263","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"63","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"64","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"65","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"66","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184472","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"67","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184330","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"68","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"69","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"70","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184334","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"71","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"72","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"73","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184338","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"74","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184339","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"75","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"76","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"77","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"78","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184282","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"79","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"80","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"81","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"82","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184266","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"83","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184279","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"84","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184280","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"85","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"86","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184234","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"87","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184239","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"88","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183845","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"89","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184088","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"90","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184028","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"91","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"92","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184034","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"93","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184031","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"94","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171466","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"95","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171467","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"96","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171468","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"97","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171469","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"98","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171470","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"99","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183819","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"100","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171449","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"101","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171454","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"102","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"103","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171410","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"104","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"105","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171412","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
